1;Adriatik.png;318;12.619;4;0;
1;Al'tair.png;72;2.85714;4096;1;
1;Avokado.png;102;4.04762;2048;2;
1;Biryuza.png;185;7.34127;256;3;
1;Dyushes.png;200;7.93651;64;4;
1;Ink.png;212;8.4127;32;5;
1;Inoplanetyanin.png;25;0.992063;16384;6;
1;Kaberne.png;184;7.30159;128;7;
1;Kedr.png;301;11.9444;8;8;
1;Kentavr.png;254;10.0794;16;9;
1;Koriandr.png;327;12.9762;2;10;
1;Narciss.png;154;6.11111;512;11;
1;Riv'era.png;132;5.2381;1024;12;
1;Zombi.png;54;2.14286;8192;13;
2;Amigasa.png;66;2.61905;3453.33;0;
2;Bejsbolka.png;82;3.25397;58.7651;1;
2;Beret.png;80;3.1746;281.546;2;
2;Bob Marli.png;103;4.0873;12.2656;3;
2;Chyotkij pacan.png;44;1.74603;1845.3;4;
2;Clown.png;90;3.57143;385.155;5;
2;Furazhka.png;106;4.20635;150.445;6;
2;Hudozhnik.png;87;3.45238;720.789;7;
2;Kamuflyazh.png;136;5.39683;1.368;8;
2;Kardinal.png;75;2.97619;205.809;9;
2;Kitaec.png;67;2.65873;526.892;10;
2;Kolpak.png;115;4.56349;42.9569;11;
2;Korona.png;20;0.793651;8840.91;12;
2;Kotelok.png;56;2.22222;4724.16;13;
2;Kovboj.png;107;4.24603;16.7793;14;
2;Kufi.png;47;1.86508;986.039;15;
2;Lysyj.png;122;4.84127;1.87142;16;
2;Moda.png;104;4.12698;2.56011;17;
2;Monah.png;108;4.28571;8.96608;18;
2;Mongol.png;93;3.69048;80.3906;19;
2;Monomah.png;21;0.833333;12094.4;20;
2;Napoleon.png;51;2.02381;1348.9;21;
2;Osen'.png;126;5;3.50223;22;
2;Pank.png;110;4.36508;6.55415;23;
2;Safari.png;99;3.92857;109.974;24;
2;Tyubetejka.png;51;2.02381;2524.37;25;
2;Ushanka.png;33;1.30952;6462.65;26;
2;Vesna.png;108;4.28571;4.79105;27;
2;Zima.png;115;4.56349;22.9541;28;
2;Zimnij kot.png;98;3.88889;31.4013;29;
3;Beloe na belom_1918.png;29;1.15079;2951.48;0;
3;Belyj krest_1927.png;26;1.03175;4722.37;1;
3;Chyornyj krug_1923.png;115;4.56349;450.36;2;
3;Chyornyj suprematicheskij kvadrat_1915.png;23;0.912698;12089.3;3;
3;Kompoziciya s rozovym krestom_1928_Chashnik.png;152;6.03175;42.9497;4;
3;Kompoziciya s zhyoltoj polosoj_1920-e_Suetin.png;179;7.10317;6.5536;5;
3;Krasnyj kvadrat_1915.png;68;2.69841;1152.92;6;
3;Proun E1 (Gorod)_1919_Lisickij.png;160;6.34921;68.7195;7;
3;Proun _1923_Lisickij.png;105;4.16667;109.951;8;
3;Risunok cvetom_1917_Rozanova.png;219;8.69048;2.56;9;
3;Suprematicheskaya kompoziciya_1916.png;29;1.15079;7555.79;10;
3;Suprematicheskaya kompoziciya_1916_2.png;112;4.44444;175.922;11;
3;Suprematicheskaya kompoziciya_1920-e_Chashnik.png;196;7.77778;26.8435;12;
3;Suprematicheskaya kompoziciya_1923_Chashnik.png;207;8.21429;10.4858;13;
3;Suprematicheskaya kompoziciya_Chashnik.png;180;7.14286;16.7772;14;
3;Suprematicheskoe postroenie cveta_1929.png;68;2.69841;720.576;15;
3;Suprematizm docheri.png;259;10.2778;1.6;16;
3;Suprematizm_1915.png;93;3.69048;281.475;17;
3;Suprematizm_1918.png;55;2.18254;1844.67;18;
3;Zhyoltyj krest_1923_Hidekel'.png;245;9.72222;4.096;19;
4;Bajker.png;200;7.93651;6.5536;0;
4;Bandit.png;21;0.833333;12089.3;1;
4;Huk.png;152;6.03175;16.7772;2;
4;Ice cream.png;144;5.71429;109.951;3;
4;Katana.png;54;2.14286;1844.67;4;
4;Klingon.png;137;5.43651;68.7195;5;
4;Kloun.png;102;4.04762;281.475;6;
4;Memglasses.png;44;1.74603;2951.48;7;
4;Pirat.png;52;2.06349;4722.37;8;
4;Puaro.png;147;5.83333;26.8435;9;
4;Richard.png;233;9.24603;2.56;10;
4;Sailor.png;70;2.77778;720.576;11;
4;Sparrow.png;163;6.46825;42.9497;12;
4;Sportglasses.png;221;8.76984;4.096;13;
4;Stalin.png;30;1.19048;7555.79;14;
4;Sunglasses.png;204;8.09524;10.4858;15;
4;Voin.png;87;3.45238;450.36;16;
4;Vozhd'.png;91;3.61111;1152.92;17;
4;Without everything.png;237;9.40476;1.6;18;
4;Zorro.png;131;5.19841;175.922;19;
5;Klin.png;46;1.8254;88327.8;0;
5;Kulon.png;78;3.09524;29856.6;1;
5;Kvadrat Malevicha.png;28;1.11111;199246;2;
5;Without jewelry.png;2368;93.9683;1.72;3;
6;Azure.png;683;27.1032;25;0;
6;Brown.png;961;38.1349;5;1;
6;Green.png;412;16.3492;125;2;
6;Maroon.png;25;0.992063;15625;3;
6;Violet.png;277;10.9921;625;4;
6;Yellow.png;162;6.42857;3125;5;
7;Ametist.png;131;5.19841;548.759;0;
7;Atlantika.png;139;5.51587;249.436;1;
7;Avantyurin.png;25;0.992063;12855;2;
7;Bal'zam.png;323;12.8175;23.4256;3;
7;Burgundiya.png;38;1.50794;5843.18;4;
7;Defile.png;184;7.30159;51.5363;5;
7;Dynya.png;437;17.3413;4.84;6;
7;Kosmos.png;76;3.01587;2655.99;7;
7;Magma.png;348;13.8095;10.648;8;
7;Medeo.png;219;8.69048;113.38;9;
7;Rubin.png;495;19.6429;2.2;10;
7;Tundra.png;105;4.16667;1207.27;11;
8;Akvamarin.png;275;10.9127;16;0;
8;Apel'sin.png;135;5.35714;1024;1;
8;Bazal't.png;110;4.36508;2048;2;
8;Borneo.png;66;2.61905;4096;3;
8;Carskij naryad.png;27;1.07143;16384;4;
8;Indigo.png;180;7.14286;256;5;
8;Kalipso.png;227;9.00794;64;6;
8;Korolevskij naryad.png;47;1.86508;8192;7;
8;Meridian.png;322;12.7778;2;8;
8;Niva.png;141;5.59524;512;9;
8;Paprika.png;255;10.119;8;10;
8;Regata.png;232;9.20635;32;11;
8;Sapfir.png;297;11.7857;4;12;
8;Tornado.png;206;8.1746;128;13;
